,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
377,Izumo,75,JP,1570172021,68,35.37,132.75,73.4,13.87
378,Nara,20,JP,1570172023,58,34.68,135.8,84.2,12.75
379,Bambanglipuro,13,ID,1570172024,84,-7.95,110.28,76.48,14.38
380,Salalah,40,OM,1570172026,62,17.01,54.1,86.0,12.75
381,Do Gonbadan,0,IR,1570172027,16,30.36,50.8,95.0,5.14
382,Altay,0,CN,1570172029,23,47.83,88.13,47.77,9.1
383,Fortuna,75,US,1570172031,100,40.6,-124.16,48.99,4.7
384,Emba,20,CY,1570172032,57,34.81,32.42,80.6,2.24
385,Jos,100,NG,1570172035,89,9.92,8.9,69.08,2.8
386,Seredka,100,RU,1570172037,93,58.06,38.14,48.74,8.3
387,Brae,20,GB,1570172039,93,60.4,-1.35,48.2,5.82
388,Kidal,0,ML,1570172040,17,18.44,1.41,83.71,6.93
389,Soyo,100,AO,1570172042,87,-6.13,12.37,75.85,12.77
390,Balfour,1,US,1570172043,100,35.35,-82.47,73.99,4.7
391,Misratah,7,LY,1570172031,68,32.38,15.09,74.1,21.9
392,Pandharpur,55,IN,1570172046,58,17.68,75.33,83.06,0.76
393,Nikki,100,BJ,1570172048,88,9.94,3.21,70.9,2.59
394,Amalapuram,40,IN,1570172049,62,16.58,82.0,89.6,10.29
395,Klaksvik,87,FO,1570172051,65,62.23,-6.59,44.6,13.87
396,Impfondo,100,CD,1570172052,94,1.62,18.06,72.34,1.12
397,Palmas Bellas,93,PA,1570172054,83,9.23,-80.09,78.01,15.3
398,Leningradskiy,100,RU,1570172055,82,69.38,178.42,33.53,15.68
399,Kindu,100,CD,1570172056,92,-2.95,25.92,73.22,1.9
400,Luderitz,0,NA,1570172057,71,-26.65,15.16,56.21,24.85
401,Rize,0,TR,1570172059,69,41.02,40.52,73.4,3.36
402,Scarborough,100,GB,1570172060,100,54.28,-0.41,51.01,4.7
403,Bonavista,13,CA,1570172061,81,48.65,-53.11,39.99,13.0
404,Mabaruma,53,GY,1570172063,99,8.2,-59.78,72.91,1.63
405,Kodino,100,RU,1570172064,83,63.72,39.64,32.63,10.94
406,Navirai,3,BR,1570172065,74,-23.07,-54.19,73.45,3.94
407,Tuktoyaktuk,100,CA,1570172067,89,69.44,-133.03,38.37,11.07
408,Saint-Leu,0,RE,1570172068,74,-21.15,55.28,82.4,24.16
409,Petrykiv,100,UA,1570172069,82,49.53,25.58,46.99,4.0
410,Moerai,12,PF,1570172071,75,-22.43,-151.33,72.05,9.46
411,Batagay,96,RU,1570172072,45,67.65,134.64,26.74,6.44
412,Herat,0,AF,1570172073,26,34.35,62.22,69.8,3.36
413,Omboue,100,GA,1570172074,80,-1.57,9.26,78.15,11.43
414,Palmer,0,AU,1570172076,22,-34.85,139.16,87.8,2.24
415,Saint-Pierre,90,FR,1570172077,100,48.95,4.24,53.01,11.41
416,Kahului,20,US,1570172079,78,20.89,-156.47,78.8,14.99
417,Caravelas,0,BR,1570172080,84,-17.73,-39.27,71.98,6.8
418,Pacific Grove,19,US,1570172081,76,36.62,-121.92,55.99,19.62
419,Georgetown,0,GY,1570172083,100,6.8,-58.16,75.2,2.24
420,Vuktyl,95,RU,1570172084,77,63.86,57.31,34.55,8.01
421,Hervey Bay,0,AU,1570172086,49,-25.3,152.85,73.99,11.41
422,Rafaela,100,AR,1570172087,84,-31.25,-61.49,55.99,3.0
423,Suntar,100,RU,1570172088,75,62.16,117.65,35.94,6.8
424,Hongjiang,16,CN,1570172090,34,27.21,109.83,91.69,5.01
425,Agadez,0,NE,1570172091,23,16.97,7.99,84.2,4.7
426,Alofi,98,NU,1570172092,88,-19.06,-169.92,73.4,10.29
427,La Rioja,57,AR,1570172094,93,-29.41,-66.86,44.89,3.42
428,Pangai,75,TO,1570172095,88,-19.8,-174.35,73.4,10.29
429,Irbeyskoye,0,RU,1570172096,36,55.64,95.45,53.81,10.58
430,Mahibadhoo,100,MV,1570172098,74,3.78,72.97,81.5,6.29
431,Aguimes,40,ES,1570172099,78,27.91,-15.45,73.99,25.28
432,Santa Fe,100,AR,1570172101,77,-31.62,-60.7,61.0,1.99
433,Ayagoz,0,KZ,1570172102,22,47.96,80.43,53.67,9.19
434,Maryville,1,US,1570172103,77,35.76,-83.97,75.99,4.43
435,Carballo,75,ES,1570172105,93,43.21,-8.69,63.0,1.12
436,Saint-Joseph,0,FR,1570172106,71,43.56,6.97,63.0,4.7
437,Tuatapere,100,NZ,1570172107,60,-46.13,167.69,57.0,15.99
438,Novouzensk,23,RU,1570172109,54,50.46,48.14,63.91,14.05
439,Isiolo,2,KE,1570172048,42,0.35,37.58,79.63,19.48
440,Nuuk,80,GL,1570172111,64,64.17,-51.74,39.2,3.36
441,Yumen,88,CN,1570172112,38,40.29,97.04,57.97,27.47
442,Dunedin,54,NZ,1570172114,80,-45.87,170.5,54.0,4.0
443,Manadhoo,85,MV,1570172115,72,5.77,73.38,82.7,7.49
444,Aberdeen,90,US,1570172117,100,46.98,-123.82,52.0,6.93
445,Port Macquarie,27,AU,1570172118,19,-31.43,152.91,86.0,14.99
446,Bud,0,NO,1570172120,74,62.91,6.91,44.6,8.05
447,Virginia Beach,1,US,1570171989,100,36.85,-75.98,77.0,13.47
448,Srandakan,13,ID,1570172122,84,-7.94,110.25,76.48,14.38
449,Ler,0,NO,1570172123,69,63.2,10.3,37.4,12.75
450,Nassjo,99,SE,1570172125,100,57.65,14.7,35.01,6.93
451,Belmonte,8,PT,1570172126,78,40.36,-7.35,59.0,2.77
452,North Bend,90,US,1570172127,93,43.41,-124.22,51.01,5.82
453,Sovetskiy,100,RU,1570172129,79,56.76,48.47,55.15,15.39
454,Mamu Kanjan,50,PK,1570172130,29,30.83,72.8,92.46,2.62
455,Verkhoyansk,96,RU,1570172132,41,67.55,133.39,24.53,7.96
456,Buchanan,75,LR,1570172133,94,5.88,-10.05,77.0,9.33
457,Sarti,92,GR,1570172134,78,40.1,23.98,72.05,11.83
458,Ambon,90,FR,1570172136,82,47.55,-2.56,60.01,9.17
459,Kunming,75,CN,1570172137,49,25.04,102.71,79.0,13.42
460,Novoagansk,94,RU,1570172138,83,61.94,76.66,41.34,17.02
461,Bezhetsk,100,RU,1570172139,93,57.78,36.69,45.01,8.63
462,Pangnirtung,0,CA,1570172141,69,66.15,-65.72,23.43,3.71
463,Usinsk,99,RU,1570172142,96,66.0,57.56,34.55,20.94
464,Uruzgan,0,AF,1570172143,10,32.93,66.63,60.83,15.59
465,Vrsac,40,RS,1570172145,87,45.12,21.3,54.0,2.24
466,Siria,100,BO,1570172146,95,-14.28,-66.79,68.88,2.77
467,Makakilo City,75,US,1570172147,78,21.35,-158.09,82.0,3.36
468,Panaba,48,MX,1570172149,94,21.28,-88.27,77.48,0.98
469,Taos,1,US,1570172150,81,36.41,-105.57,48.2,4.7
470,Mount Isa,5,AU,1570172151,14,-20.73,139.49,91.4,14.99
471,Guadalupe y Calvo,100,MX,1570172153,91,26.09,-106.96,57.25,4.05
472,Teguldet,93,RU,1570172154,55,57.31,88.17,49.13,12.84
473,Weinan,90,CN,1570172155,100,34.5,109.46,64.99,8.95
474,Los Lunas,1,US,1570172157,63,34.81,-106.76,63.0,9.17
475,Moi,99,NO,1570172158,85,58.46,6.55,45.0,11.01
476,Stephenville,75,CA,1570172159,56,48.55,-58.59,42.8,11.41
477,Burley,1,US,1570172160,43,42.54,-113.79,50.0,11.41
478,Kungurtug,0,RU,1570172162,33,50.6,97.53,46.34,2.86
479,Sao Joao da Barra,16,BR,1570172163,95,-21.64,-41.05,66.45,0.94
480,Kinshasa,90,CD,1570172164,94,-4.32,15.31,71.6,6.93
481,Saint-Sauveur-des-Monts,90,CA,1570172166,93,45.9,-74.17,43.0,8.05
482,Fairbanks,90,US,1570172078,100,64.84,-147.72,37.99,4.7
483,Staunton,1,US,1570172168,82,38.15,-79.07,75.0,4.16
484,Juegang,0,CN,1570172170,55,32.31,121.18,87.01,9.4
485,Kavaratti,40,IN,1570172171,70,10.57,72.64,87.8,5.88
486,Lamu,81,CN,1570172172,53,35.77,102.37,56.14,3.15
487,Vardo,90,US,1570172174,94,39.62,-77.74,72.0,5.82
488,Bonito,0,BR,1570172175,97,-1.36,-47.3,70.73,4.32
489,Mosina,82,PL,1570172176,96,52.25,16.85,46.99,1.59
490,Nema,99,RU,1570172177,81,57.51,50.5,54.77,12.68
491,Karangampel,5,ID,1570172179,23,-6.46,108.44,101.87,6.58
492,Turayf,0,SA,1570172180,43,31.68,38.65,71.6,4.7
493,Manavgat,0,TR,1570172182,69,36.79,31.44,75.2,5.82
494,Umm Kaddadah,93,SD,1570172183,57,13.6,26.69,81.48,10.47
495,Sungaipenuh,58,ID,1570172184,61,-2.08,101.38,87.08,5.39
496,Florianopolis,75,BR,1570171909,93,-27.6,-48.55,66.99,2.24
497,Kralendijk,36,BQ,1570172187,79,12.15,-68.27,84.2,12.75
498,Puerto Montt,75,CL,1570172188,93,-41.47,-72.94,41.0,3.36
499,Makarov,100,RU,1570172189,95,48.62,142.78,33.69,7.05
500,Faya,0,SA,1570172191,23,18.39,42.45,77.0,8.05
501,Santiago del Estero,98,AR,1570172192,85,-27.8,-64.26,53.26,6.08
502,Lokoja,98,NG,1570172194,95,7.8,6.74,72.7,3.15
503,Kassala,71,SD,1570172195,53,15.45,36.38,87.58,11.52
504,Kudahuvadhoo,100,MV,1570172196,66,2.67,72.89,82.99,3.62
505,Gobabis,0,NA,1570172198,11,-22.45,18.97,64.4,1.9
506,Alliance,40,US,1570172199,71,40.92,-81.11,61.0,8.05
507,Venice,1,US,1570172200,88,27.1,-82.45,75.99,5.82
508,Igarka,100,RU,1570172202,93,67.47,86.57,44.67,14.41
509,Saravan,88,AM,1570172203,49,39.72,45.65,71.6,6.93
510,Atyrau,0,KZ,1570172204,34,47.1,51.92,64.4,15.66
511,Dingle,25,PH,1570172206,60,11.0,122.67,87.44,3.58
512,Hofn,100,IS,1570172207,99,64.25,-15.21,31.12,5.57
513,Belomorsk,100,RU,1570172208,76,64.52,34.76,36.66,12.33
514,Tura,100,RU,1570172209,95,64.27,100.22,38.84,6.55
515,Coromandel,0,BR,1570172211,39,-18.47,-47.2,71.31,7.72
516,Caxito,0,BR,1570172212,93,-22.65,-42.51,60.56,1.81
517,Deputatskiy,100,RU,1570172213,83,69.3,139.9,17.6,25.41
518,Sun Valley,1,US,1570171951,42,39.6,-119.78,52.0,11.41
519,Aripuana,41,BR,1570172216,95,-9.17,-60.63,71.81,0.85
520,Urbana,1,US,1570171951,87,40.11,-88.21,53.01,6.93
521,Shiyan,100,CN,1570172218,40,32.65,110.78,75.99,1.01
522,Basco,1,US,1570172220,100,40.33,-91.2,50.0,5.82
523,San Rafael,59,AR,1570172221,79,-34.61,-68.33,41.99,4.38
524,Zaraza,100,VE,1570172223,96,9.35,-65.33,72.25,1.79
525,Mto wa Mbu,77,TZ,1570172224,59,-3.38,35.86,69.47,17.87
